index	genome	identifier	file	clip	scale	sum_stat	description
128	1	ENCFF233RWK	/home/suncz/work/s02/Encode_epigenome/data/ENCFF233RWK.bigWig	32	2	mean	ChIP-seq:H3K4me1:motor neuron
129	1	ENCFF507DOD	/home/suncz/work/s02/Encode_epigenome/data/ENCFF507DOD.bigWig	32	2	mean	ChIP-seq:H3K4me3:HAP-1
130	1	ENCFF568HPI	/home/suncz/work/s02/Encode_epigenome/data/ENCFF568HPI.bigWig	32	2	mean	ChIP-seq:H3K27ac:upper lobe of left lung
131	1	ENCFF528NHC	/home/suncz/work/s02/Encode_epigenome/data/ENCFF528NHC.bigWig	32	2	mean	ChIP-seq:H3K27ac:upper lobe of left lung
132	1	ENCFF111ZPB	/home/suncz/work/s02/Encode_epigenome/data/ENCFF111ZPB.bigWig	32	2	mean	ChIP-seq:H3K4me1:Caco-2
133	1	ENCFF344NAT	/home/suncz/work/s02/Encode_epigenome/data/ENCFF344NAT.bigWig	32	2	mean	ChIP-seq:H3K4me1:RWPE2
134	1	ENCFF029NYA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF029NYA.bigWig	32	2	mean	ChIP-seq:SMC3:A549
135	1	ENCFF421MWY	/home/suncz/work/s02/Encode_epigenome/data/ENCFF421MWY.bigWig	32	2	mean	ChIP-seq:H3K4me3:esophagus squamous epithelium
136	1	ENCFF566GDH	/home/suncz/work/s02/Encode_epigenome/data/ENCFF566GDH.bigWig	32	2	mean	ChIP-seq:H3K27me3:upper lobe of left lung
137	1	ENCFF823JWZ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF823JWZ.bigWig	32	2	mean	DNase-seq::posterior cingulate gyrus
138	1	ENCFF825TKA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF825TKA.bigWig	32	2	mean	DNase-seq::posterior cingulate gyrus
139	1	ENCFF128ZRT	/home/suncz/work/s02/Encode_epigenome/data/ENCFF128ZRT.bigWig	32	2	mean	ChIP-seq:H3K27me3:upper lobe of left lung
140	1	ENCFF005KFY	/home/suncz/work/s02/Encode_epigenome/data/ENCFF005KFY.bigWig	32	2	mean	ChIP-seq:H3K27ac:SJSA1
141	1	ENCFF475MYM	/home/suncz/work/s02/Encode_epigenome/data/ENCFF475MYM.bigWig	32	2	mean	ChIP-seq:H3K4me1:BE2C
142	1	ENCFF846LIA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF846LIA.bigWig	32	2	mean	ChIP-seq:H3K4me1:motor neuron
143	1	ENCFF523ONW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF523ONW.bigWig	32	2	mean	ChIP-seq:H3K27ac:motor neuron
144	1	ENCFF964SJB	/home/suncz/work/s02/Encode_epigenome/data/ENCFF964SJB.bigWig	32	2	mean	ChIP-seq:H3K9me3:esophagus muscularis mucosa
145	1	ENCFF936LDO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF936LDO.bigWig	32	2	mean	ChIP-seq:H3K4me1:motor neuron
146	1	ENCFF548QPW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF548QPW.bigWig	32	2	mean	ChIP-seq:H3K27me3:SJSA1
147	1	ENCFF927MAP	/home/suncz/work/s02/Encode_epigenome/data/ENCFF927MAP.bigWig	32	2	mean	ChIP-seq:H3K27ac:heart right ventricle
148	1	ENCFF342GPE	/home/suncz/work/s02/Encode_epigenome/data/ENCFF342GPE.bigWig	32	2	mean	ChIP-seq:H3K4me3:heart right ventricle
149	1	ENCFF021IPQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF021IPQ.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
150	1	ENCFF835VYP	/home/suncz/work/s02/Encode_epigenome/data/ENCFF835VYP.bigWig	32	2	mean	ChIP-seq:H3K27me3:heart left ventricle
151	1	ENCFF927YMY	/home/suncz/work/s02/Encode_epigenome/data/ENCFF927YMY.bigWig	32	2	mean	DNase-seq::mammary epithelial cell
152	1	ENCFF048XZD	/home/suncz/work/s02/Encode_epigenome/data/ENCFF048XZD.bigWig	32	2	mean	ATAC-seq::T-helper 17 cell
153	1	ENCFF283XLM	/home/suncz/work/s02/Encode_epigenome/data/ENCFF283XLM.bigWig	32	2	mean	ChIP-seq:H3K27me3:dorsolateral prefrontal cortex
154	1	ENCFF089VSL	/home/suncz/work/s02/Encode_epigenome/data/ENCFF089VSL.bigWig	32	2	mean	ChIP-seq:H3K27me3:heart right ventricle
155	1	ENCFF704SIP	/home/suncz/work/s02/Encode_epigenome/data/ENCFF704SIP.bigWig	32	2	mean	ChIP-seq:H3K36me3:heart left ventricle
156	1	ENCFF242SBC	/home/suncz/work/s02/Encode_epigenome/data/ENCFF242SBC.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
